timestamp,window,packages,predicted
1644779167.2427542,None,3346,4057.6243386243386
1644779168.5333455,None,5723,3954.5925925925926
1644779168.8592174,None,1501,4084.904761904762
1644779169.1101952,None,1216,3787.714285714286
1644779169.3978727,None,1435,3505.2433862433863
1644779171.1775215,None,7192,3247.867724867725
1644779171.8267593,None,2998,3576.7883597883597
1644779174.4755876,None,11464,3478.121693121693
1644779175.8035958,None,5827,4175.042328042328
1644779176.2291906,None,2114,4289.153439153439
1644779176.995512,None,3633,4050.867724867725
1644779178.2018511,None,5600,3954.3703703703704
1644779179.5266933,None,5965,4058.195767195767
1644779179.8887465,None,1796,4199.978835978836
1644779180.3711135,None,2142,3936.6560846560847
1644779181.7688162,None,6304,3748.8571428571427
1644779183.1055355,None,6137,3968.777777777778
1644779183.5038228,None,1746,4158.089947089947
1644779183.8401108,None,1599,3912.010582010582
1644779184.9814324,None,4891,3661.4444444444443
1644779186.3196754,None,5570,3733.645502645503
1644779186.8563497,None,2357,3874.915343915344
1644779190.4939847,None,18002,3688.6560846560847
1644779192.690272,None,10530,4986.359788359789
1644779195.3241653,None,12854,5484.78835978836
1644779196.8186378,None,6913,6186.888888888889
1644779197.1395488,None,1496,6271.0317460317465
1644779197.436657,None,1347,5863.349206349207
1644779197.6930845,None,1156,5464.391534391534
1644779198.794715,None,5057,5051.3015873015875
1644779199.314979,None,2545,5022.841269841269
1644779199.6061308,None,1466,4758.015873015873
1644779199.9686267,None,1713,4408.523809523809
1644779200.2987053,None,1557,4084.3015873015875
1644779201.0075104,None,2978,3747.4920634920636
1644779201.401334,None,1760,3571.132275132275
1644779202.0877974,None,3104,3295.4867724867727
1644779203.7107208,None,6632,3147.767195767196
1644779204.6982799,None,4047,3328.084656084656
1644779205.3351448,None,2716,3253.0
1644779205.9045632,None,2547,3059.2116402116403
1644779207.274539,None,6339,2847.4285714285716
1644779207.7134986,None,2097,3078.5608465608466
1644779211.2853546,None,14168,2927.867724867725
1644779212.0040305,None,3508,3983.708994708995
1644779212.3978808,None,1974,3985.925925925926
1644779213.7340782,None,5436,3831.4021164021165
1644779215.3649244,None,7753,4003.2751322751324
1644779215.997848,None,2851,4373.169312169312
1644779216.3723247,None,1707,4261.941798941799
1644779216.8501313,None,2045,4040.1428571428573
1644779218.2766302,None,6225,3849.259259259259
1644779218.7398667,None,2087,4054.714285714286
1644779220.6951478,None,8633,3841.3756613756614
1644779221.9793973,None,5518,4256.179894179894
1644779223.6613636,None,7283,4337.952380952381
1644779224.1727145,None,2404,4575.047619047619
1644779225.104223,None,3668,4344.0317460317465
1644779226.7191973,None,7251,4242.089947089947
1644779227.564381,None,3942,4476.349206349207
1644779229.4110143,None,7863,4370.576719576719
1644779229.9700048,None,2527,4650.915343915344
1644779230.5101478,None,2440,4392.555555555556
1644779232.1141868,None,6996,4187.5026455026455
1644779233.2103758,None,4677,4422.005291005291
1644779233.5446491,None,1570,4409.079365079365
1644779234.0619771,None,2261,4104.26455026455
1644779235.2742012,None,5585,3897.973544973545
1644779235.7578008,None,2370,4011.3756613756614
1644779237.2537355,None,7158,3798.068783068783
1644779239.1296318,None,8593,4039.042328042328
1644779239.6633282,None,2172,4411.746031746032
1644779240.1136703,None,1826,4138.5026455026455
1644779241.400789,None,5815,3866.4920634920636
1644779243.1531816,None,7476,3993.9206349206347
1644779243.6774528,None,2409,4287.306878306878
1644779244.696211,None,4736,4071.285714285714
1644779245.0826461,None,1802,4083.5449735449733
1644779245.7101145,None,2981,3829.6825396825398
1644779246.4283204,None,3120,3699.4285714285716
1644779246.8216472,None,1943,3608.2433862433863
1644779248.0155208,None,5640,3401.8253968253966
1644779248.5814548,None,2651,3550.132275132275
1644779248.7981815,None,1069,3420.94708994709
1644779249.5322614,None,3153,3151.814814814815
1644779249.849205,None,1455,3083.809523809524
1644779250.2073975,None,1706,2849.3703703703704
1644779250.7093494,None,2175,2660.6878306878307
1644779251.1879983,None,2104,2520.185185185185
1644779251.510436,None,1528,2399.285714285714
1644779251.8640575,None,1669,2257.862433862434
1644779252.4816036,None,2997,2133.2751322751324
1644779252.730099,None,1209,2135.994708994709
1644779253.1943648,None,2231,1983.3386243386244
1644779255.120792,None,8667,1961.1746031746031
1644779255.8871114,None,3710,2552.904761904762
1644779256.4982429,None,2786,2651.740740740741
1644779256.9694388,None,2296,2652.4814814814813
1644779257.2824104,None,1235,2607.5873015873017
1644779257.62165,None,1554,2466.005291005291
1644779258.8492756,None,5233,2358.5502645502647
1644779261.698272,None,12657,2623.095238095238
1644779262.1203673,None,2017,3581.026455026455
1644779262.3073852,None,965,3464.3121693121693
1644779263.217544,None,4246,3253.4179894179892
1644779264.0319767,None,3771,3357.5925925925926
1644779264.4168463,None,1680,3403.089947089947
1644779265.7978606,None,6206,3241.0
1644779266.183253,None,1712,3512.201058201058
1644779266.4758956,None,1262,3330.6507936507937
1644779266.9981842,None,2512,3106.0158730158732
1644779267.7421832,None,3285,3009.6084656084654
1644779268.0482397,None,1462,2979.925925925926
1644779268.421727,None,1762,2771.0476190476193
1644779268.8487582,None,1862,2628.862433862434
1644779269.266927,None,1931,2506.5079365079364
1644779269.563534,None,1334,2395.613756613757
1644779269.9538605,None,1824,2229.7936507936506
1644779270.296624,None,1552,2110.1164021164022
1644779271.0576825,None,2977,1963.1058201058202
1644779271.7420232,None,2963,1971.2857142857142
1644779272.5668445,None,4155,2029.3492063492063
1644779273.672992,None,5560,2195.931216931217
1644779273.965108,None,1368,2479.4444444444443
1644779274.3792937,None,1922,2356.767195767196
1644779275.3326058,None,4354,2299.5661375661375
1644779276.2094815,None,4291,2472.703703703704
1644779276.7223434,None,2500,2649.6402116402114
1644779278.3581502,None,7091,2642.3597883597886
1644779278.7197363,None,1714,3065.767195767196
1644779279.284183,None,2721,2952.8518518518517
1644779279.5926952,None,1486,2944.153439153439
1644779279.8699334,None,1388,2811.1746031746034
1644779280.215645,None,1551,2670.322751322751
1644779280.6179008,None,1721,2547.5026455026455
1644779281.1079485,None,2130,2442.8835978835978
1644779282.8767092,None,7118,2375.169312169312
1644779283.2402756,None,1671,2780.8835978835978
1644779284.119685,None,3845,2638.386243386243
1644779284.7877967,None,3168,2709.846560846561
1644779285.6513636,None,3668,2712.164021164021
1644779286.6635258,None,4224,2767.322751322751
1644779287.2374244,None,2304,2885.4444444444443
1644779288.0349655,None,3895,2805.5978835978835
1644779288.259188,None,1114,2875.253968253968
1644779289.5667856,None,5926,2682.4814814814813
1644779289.9164672,None,1740,2964.804232804233
1644779290.8414805,None,4293,2830.3333333333335
1644779291.5116498,None,3076,2967.3174603174602
1644779291.729396,None,896,2974.7513227513227
1644779292.5264394,None,3464,2772.6878306878307
1644779292.6912892,None,708,2818.3174603174602
1644779292.951218,None,1168,2590.4867724867727
1644779293.1560678,None,921,2410.925925925926
1644779293.4665613,None,1419,2210.767195767196
1644779293.7328885,None,1067,2064.4338624338625
1644779294.1440725,None,1761,1914.7301587301588
1644779294.5012167,None,1629,1834.3174603174602
1644779294.856328,None,1577,1752.3597883597884
1644779295.1483226,None,1244,1673.5925925925926
1644779295.7519507,None,2623,1574.1746031746031
1644779296.67895,None,4002,1621.857142857143
1644779297.1083765,None,2018,1799.1851851851852
1644779297.6758006,None,2796,1786.994708994709
1644779298.4073997,None,3654,1844.116402116402
1644779298.7481759,None,1443,1999.5132275132275
1644779299.4976325,None,2973,1934.2116402116403
1644779299.854727,None,1466,2029.7037037037037
1644779300.0754716,None,925,1982.2169312169312
1644779300.3036067,None,911,1880.1904761904761
1644779300.5342464,None,905,1790.2645502645503
1644779300.8338304,None,1288,1698.6931216931216
1644779301.0674913,None,974,1644.989417989418
1644779301.70733,None,2653,1559.4391534391534
1644779301.9478893,None,1065,1636.148148148148
1644779302.1289313,None,878,1553.2275132275133
1644779302.333788,None,784,1456.1798941798943
1644779303.0138035,None,3268,1354.1534391534392
1644779303.730556,None,3472,1492.8941798941798
1644779303.9199955,None,851,1640.3544973544974
1644779304.7170925,None,3442,1533.7037037037037
1644779306.5691297,None,8214,1690.4867724867725
1644779309.0402005,None,10502,2294.2116402116403
1644779309.359154,None,1562,3087.1746031746034
1644779309.4925783,None,666,2992.4761904761904
1644779309.7202404,None,1139,2811.814814814815
1644779311.898671,None,9911,2688.4074074074074
1644779312.3877366,None,2025,3402.15873015873
1644779312.7666464,None,1671,3317.3174603174602
